home_team,away_team,bet,country,date,is_correct,season,coef,chance,value
CD Mafra,Casa Pia AC,1,portugal liga-portugal-2,2021-10-10 14:30:00,True,2021-2022,3.25,0.2975100068551749,0.9669075222793185
UD Logroñés,SD Logroñés,3,spain primera-rfef,2021-10-10 15:00:00,False,2021-2022,1.69,0.5259115306165414,0.8887904867419549
UD Logroñés,SD Logroñés,0,spain primera-rfef,2021-10-10 15:00:00,True,2021-2022,5.03,0.17885598937221495,0.8996456265422412
UD Logroñés,SD Logroñés,1,spain primera-rfef,2021-10-10 15:00:00,False,2021-2022,3.39,0.2952324800112437,1.000838107238116
FC Barcelona B,FC Andorra,3,spain primera-rfef,2021-10-10 15:00:00,True,2021-2022,2.3,0.39609326333613504,0.9110145056731105
FC Barcelona B,FC Andorra,0,spain primera-rfef,2021-10-10 15:00:00,False,2021-2022,3.15,0.2821358396087997,0.888727894767719
FC Barcelona B,FC Andorra,1,spain primera-rfef,2021-10-10 15:00:00,False,2021-2022,3.05,0.32177089705506523,0.9814012360179489
Racing Ferrol,CD Badajoz,3,spain primera-rfef,2021-10-10 15:00:00,False,2021-2022,2.6,0.35621503246320435,0.9261590844043314
Racing Ferrol,CD Badajoz,0,spain primera-rfef,2021-10-10 15:00:00,True,2021-2022,2.76,0.3193404905647741,0.8813797539587764
Racing Ferrol,CD Badajoz,1,spain primera-rfef,2021-10-10 15:00:00,False,2021-2022,2.97,0.32444447697202144,0.9636000966069037
Villarreal CF B,Sevilla Atlético,3,spain primera-rfef,2021-10-10 15:00:00,True,2021-2022,1.44,0.6477101853874857,0.9327026669579794
Villarreal CF B,Sevilla Atlético,0,spain primera-rfef,2021-10-10 15:00:00,False,2021-2022,6.76,0.14055446574248964,0.95014818841923
Villarreal CF B,Sevilla Atlético,1,spain primera-rfef,2021-10-10 15:00:00,False,2021-2022,4.22,0.2117353488700246,0.8935231722315038
US Viterbese 1908,US Grosseto 1912,3,italy serie-c,2021-10-10 15:30:00,False,2021-2022,2.1,0.42532503099129193,0.8931825650817131
US Viterbese 1908,US Grosseto 1912,0,italy serie-c,2021-10-10 15:30:00,True,2021-2022,3.61,0.26293184605310965,0.9491839642517258
US Viterbese 1908,US Grosseto 1912,1,italy serie-c,2021-10-10 15:30:00,False,2021-2022,3.06,0.31174312295559836,0.953933956244131
Paganese Calcio 1926,US Catanzaro,3,italy serie-c,2021-10-10 15:30:00,False,2021-2022,3.36,0.2730102219580974,0.9173143457792071
Paganese Calcio 1926,US Catanzaro,0,italy serie-c,2021-10-10 15:30:00,True,2021-2022,2.29,0.41045109867092183,0.939933015956411
Paganese Calcio 1926,US Catanzaro,1,italy serie-c,2021-10-10 15:30:00,False,2021-2022,2.88,0.3165386793709808,0.9116313965884246
SS Monopoli 1966,SS Città di Campobasso,3,italy serie-c,2021-10-10 15:30:00,False,2021-2022,2.02,0.46302354534597134,0.9353075615988621
SS Monopoli 1966,SS Città di Campobasso,0,italy serie-c,2021-10-10 15:30:00,True,2021-2022,3.52,0.24070687719991948,0.8472882077437166
SS Monopoli 1966,SS Città di Campobasso,1,italy serie-c,2021-10-10 15:30:00,False,2021-2022,3.3,0.2962695774541092,0.9776896055985603
Leixões SC,CD Feirense,3,portugal liga-portugal-2,2021-10-10 15:30:00,True,2021-2022,2.88,0.3272132992921528,0.9423743019614
Leixões SC,CD Feirense,0,portugal liga-portugal-2,2021-10-10 15:30:00,False,2021-2022,2.48,0.38051702008366983,0.9436822098075012
Leixões SC,CD Feirense,1,portugal liga-portugal-2,2021-10-10 15:30:00,False,2021-2022,3.19,0.2922696806241773,0.9323402811911256
Calcio Catania,SS Juve Stabia,3,italy serie-c,2021-10-10 15:30:00,True,2021-2022,2.46,0.36950449389748913,0.9089810549878232
Calcio Catania,SS Juve Stabia,0,italy serie-c,2021-10-10 15:30:00,False,2021-2022,2.94,0.32046082329615316,0.9421548204906903
