home_team,away_team,bet,country,date,is_correct,season,coef,chance,value
Rotor Volgograd,Kuban Krasnodar,3,russia fnl,2021-10-13 15:30:00,False,2021-2022,1.39,0.6466255488673418,0.8988095129256051
Rotor Volgograd,Kuban Krasnodar,0,russia fnl,2021-10-13 15:30:00,True,2021-2022,7.99,0.13786223122935304,1.1015192275225307
Rotor Volgograd,Kuban Krasnodar,1,russia fnl,2021-10-13 15:30:00,False,2021-2022,4.37,0.21551221990330519,0.9417884009774437
CD Guijuelo,CDA Navalcarnero,3,spain copa-federacion,2021-10-13 17:00:00,True,2021-2022,3.07,0.29910409081442896,0.9182495588002969
CD Guijuelo,CDA Navalcarnero,0,spain copa-federacion,2021-10-13 17:00:00,False,2021-2022,2.36,0.4039030548723424,0.9532112094987281
CD Guijuelo,CDA Navalcarnero,1,spain copa-federacion,2021-10-13 17:00:00,False,2021-2022,3.1,0.29699285431322875,0.9206778483710092
Real Aviles,Racing Santander,3,spain copa-federacion,2021-10-13 18:00:00,False,2021-2022,3.88,0.1746150932538682,0.6775065618250086
Real Aviles,Racing Santander,0,spain copa-federacion,2021-10-13 18:00:00,False,2021-2022,1.89,0.6103121480112832,1.1534899597413253
Real Aviles,Racing Santander,1,spain copa-federacion,2021-10-13 18:00:00,True,2021-2022,3.53,0.21507275873484855,0.7592068383340154
Gimnástica Torrelavega,SD Leioa,3,spain copa-federacion,2021-10-13 18:00:00,False,2021-2022,1.96,0.4793687344860591,0.9395627195926758
Gimnástica Torrelavega,SD Leioa,0,spain copa-federacion,2021-10-13 18:00:00,True,2021-2022,3.67,0.23454945778722017,0.860796510079098
Gimnástica Torrelavega,SD Leioa,1,spain copa-federacion,2021-10-13 18:00:00,False,2021-2022,3.44,0.28608180772672076,0.9841214185799194
Bristol Rovers,Chelsea U21,3,england efl-trophy,2021-10-13 18:00:00,False,2021-2022,2.24,0.4692667763221575,1.051157578961633
Bristol Rovers,Chelsea U21,0,england efl-trophy,2021-10-13 18:00:00,True,2021-2022,2.72,0.28125381741331446,0.7650103833642153
Bristol Rovers,Chelsea U21,1,england efl-trophy,2021-10-13 18:00:00,False,2021-2022,3.83,0.24947940626452814,0.9555061259931428
Torremolinos,Córdoba CF,3,spain copa-federacion,2021-10-13 18:00:00,False,2021-2022,3.28,0.22937397440584878,0.7523466360511839
Torremolinos,Córdoba CF,0,spain copa-federacion,2021-10-13 18:00:00,True,2021-2022,2.13,0.5284390833512559,1.125575247538175
Torremolinos,Córdoba CF,1,spain copa-federacion,2021-10-13 18:00:00,False,2021-2022,3.35,0.2421869422428953,0.8113262565136993
Sunderland AFC,Manchester Utd U21,3,england efl-trophy,2021-10-13 18:00:00,True,2021-2022,1.94,0.545477595342165,1.0582265349638
Sunderland AFC,Manchester Utd U21,0,england efl-trophy,2021-10-13 18:00:00,False,2021-2022,2.96,0.22452235278339835,0.6645861642388591
Sunderland AFC,Manchester Utd U21,1,england efl-trophy,2021-10-13 18:00:00,False,2021-2022,4.13,0.23000005187443667,0.9499002142414235
Yeclano Deportivo,Xerez CD,3,spain copa-federacion,2021-10-13 18:15:00,False,2021-2022,2.45,0.4065653953953892,0.9960852187187037
Yeclano Deportivo,Xerez CD,0,spain copa-federacion,2021-10-13 18:15:00,True,2021-2022,2.79,0.31493233887794836,0.8786612254694759
Yeclano Deportivo,Xerez CD,1,spain copa-federacion,2021-10-13 18:15:00,False,2021-2022,3.23,0.2785022657266624,0.8995623182971196
Mérida AD,Moralo,3,spain copa-federacion,2021-10-13 18:30:00,False,2021-2022,2.72,0.36213353346731575,0.9850032110310989
Mérida AD,Moralo,0,spain copa-federacion,2021-10-13 18:30:00,True,2021-2022,2.65,0.3580020558884748,0.9487054481044581
Mérida AD,Moralo,1,spain copa-federacion,2021-10-13 18:30:00,False,2021-2022,3.04,0.27986441064420947,0.8507878083583968
